id,campus,goldribbon,district,county,street,city,zip,lowgrade,highgrade,region,aea,charter,magnet,peg,enrollment,percentafam,percentamindian,percentasian,percenthispanic,percentpacisl,percenttwo,percentwhite,percentecodis,mobilitypct,totalreading,totalmath,r.notmeet.pct,rapproaches,rmeets,r.masters.pct,m.notmeet.pct,mapproaches,mmeets,m.masters.pct,sat.act.part.rate,sat,act,ap.ib.part.rate,ap.ib.above.criterion.rate,nceread,ncemath,avg.growth,eng1.all.cnt.2,eng1.meets.cnt.2,eng2.all.cnt.2,eng2.meets.cnt.2,alg1.all.cnt.2,alg1.meets.cnt.2,w.avg,stud.ach.grade,residuals,camp.perf.score,camp.perf.grade,growth.grade,elem/middle.total.score.33.33.33,high.total.score.25.25.25.25(HS),staterank2018,staterank2017,staterank2016,staterank2015,grade2018,grade2017,grade2016,grade2015,2018 regional rank,2017 regional rank,2016 regional rank,2015 regional rank,level,e.avg(HS),a.avg(HS),g.rate.6yr(HS),g.rate.5yr(HS),g.rate.4yr(HS),g.rate.car(HS),college.rd(HS),college.rd.grade(HS)
170902106,Creighton El,No,Conroe ISD,MONTGOMERY COUNTY,12089 FM 1485,CONROE,77306-7441,EE,4,6,N,No,No,No,885,1.13%,0.45%,0.11%,58.64%,0.00%,0.11%,39.55%,81.24%,21,348,347,39.08045977,60.90%,31.03448276,16.95402299,27.95389049,72.00%,36.02%,16.42651297,NA,N/A,N/A,NA,NA,46.81137466,50.355896,48.58363533,NA,NA,NA,NA,NA,NA,33.52876876,D,-2.236530028,31.29223873,D,D,37.76374606,NA,3205,2793,3314,1955,D+,C-,D-,B-,667/892,580/878,702/856,702/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101905105,Crenshaw El,No,Channelview ISD,HARRIS COUNTY,16204 WOOD DR,CHANNELVIEW,77530,KG,5,4,N,No,No,No,648,0.77%,1.54%,0.31%,89.20%,0.00%,0.46%,7.72%,89.35%,14.9,304,305,39.80263158,59.50%,33.88157895,19.07894737,28.85245902,70.50%,42.95%,17.37704918,NA,N/A,N/A,NA,NA,53.16753387,49.0944519,51.13099289,NA,NA,NA,NA,NA,NA,38.41619931,D,3.805194078,42.22139339,C,C,43.878939,NA,2373,2733,3464,2762,C,C-,D-,C-,502/892,566/878,727/856,727/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
84902102E,Crenshaw El And Middle (elementary),Yes,Galveston ISD,GALVESTON COUNTY,P O BOX 660,GALVESTON,77553-0660,EE,8,4,N,No,No,No,148,0.68%,0.00%,1.35%,41.22%,0.00%,0.00%,56.76%,81.76%,18.9,91,73,14.28571429,85.70%,47.25274725,29.67032967,9.589041096,87.70%,50.68%,30.1369863,NA,N/A,N/A,NA,NA,49.34178543,59.91212845,54.62695694,NA,NA,NA,NA,17,10,48.96883938,C,13.29288882,62.2617282,B,B,55.23055566,NA,1104,907,N/A,1817,B,A-,N/A,B-,260/892,220/878,N/A,N/A/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
84902102M,Crenshaw El And Middle (middle),Yes,Galveston ISD,GALVESTON COUNTY,P O BOX 660,GALVESTON,77553-0660,EE,8,4,N,No,No,No,148,0.68%,0.00%,1.35%,41.22%,0.00%,0.00%,56.76%,81.76%,18.9,91,73,14.28571429,85.70%,47.25274725,29.67032967,9.589041096,87.70%,50.68%,30.1369863,NA,N/A,N/A,NA,NA,49.34178543,59.91212845,54.62695694,NA,NA,NA,NA,17,10,48.96883938,B,18.8625781,67.83141748,A,B,57.0852622,NA,306,223,N/A,463,B+,A,N/A,B+,71/328,47/316,N/A,N/A/314,Middle school,NA,NA,NA,NA,NA,NA,NA,NA
101912290,Crespo El,No,Houston ISD,HARRIS COUNTY,7500 OFFICE CITY DR,HOUSTON,77012-4115,EE,5,4,N,No,Yes,No,922,2.82%,0.00%,0.33%,96.10%,0.00%,0.00%,0.76%,92.62%,11.7,406,406,44.33497537,54.90%,25.12315271,12.80788177,33.25123153,66.00%,35.47%,16.25615764,NA,N/A,N/A,NA,NA,45.77427292,44.5514946,45.16288376,NA,NA,NA,NA,NA,NA,30.2955665,D,-4.005974719,26.28959178,F,F,33.882098,NA,3643,3175,2227,2372,D,D+,C,C,749/892,661/878,482/856,482/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101911118,Crockett El,No,Goose Creek CISD,HARRIS COUNTY,P O BOX 30,BAYTOWN,77522-0030,EE,5,4,N,No,No,No,714,11.90%,0.28%,0.70%,64.85%,0.28%,2.38%,19.61%,62.75%,17.4,329,330,21.58054711,78.40%,49.84802432,30.09118541,9.090909091,90.90%,59.70%,28.18181818,NA,N/A,N/A,NA,NA,53.98292542,57.6241188,55.80352211,NA,NA,NA,NA,NA,NA,54.77249701,B,13.43049491,68.20299192,A,A,59.53341067,NA,731,703,660,1223,B+,A,A,B+,182/892,177/878,182/856,182/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101912135,Crockett El,No,Houston ISD,HARRIS COUNTY,2112 CROCKETT ST,HOUSTON,77007-3923,EE,5,4,N,No,No,No,564,9.57%,0.35%,1.06%,82.45%,0.18%,1.06%,5.32%,66.84%,8.7,239,239,18.82845188,80.80%,53.13807531,28.45188285,14.64435146,83.30%,57.32%,33.89121339,NA,N/A,N/A,NA,NA,50.46606064,53.67275238,52.06940651,NA,NA,NA,NA,NA,NA,55.23012552,B,15.61312552,70.84325104,A,B,59.32154676,NA,752,395,1854,291,B+,A,B-,A+,185/892,110/878,413/856,413/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101906106,Crosby El,No,Crosby ISD,HARRIS COUNTY,14705 FM 2100,CROSBY,77532,1,5,4,N,No,No,No,656,13.11%,0.61%,0.61%,23.32%,0.00%,2.13%,60.21%,38.87%,1.8,402,404,32.58706468,67.40%,36.8159204,19.65174129,22.77227723,77.20%,41.58%,17.82178218,NA,N/A,N/A,NA,NA,47.18498611,47.87200546,47.52849579,NA,NA,NA,NA,NA,NA,39.20003941,D,-13.06778668,26.13225273,F,F,37.58264238,NA,3229,3428,2984,3597,D+,D,D+,D-,670/892,697/878,628/856,628/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101906001,Crosby H S,No,Crosby ISD,HARRIS COUNTY,333 RED SUMMIT DR,CROSBY,77532-8009,9,12,4,N,No,No,No,1697,16.38%,0.29%,0.24%,34.35%,0.00%,2.24%,46.49%,41.72%,15.2,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,51.3,1364 (avg.: 1375),20.1 (avg.: 20.3),12.9,42.1,46.78422546,39.79222107,43.28822327,594,242,530,185,418,114,32.63102556,D,-15.93297554,16.69805002,F,F,NA,39.5772528,1125,1073,887,801,D,D,D,D+,151/191,142/187,126/171,126/171/162,High school,37.98932384,27.27272727,0.81604426,0.829268293,0.805620609,0.829268293,65.69171234,D
101906042,Crosby Middle,No,Hitchcock ISD,GALVESTON COUNTY,6625 FM 2004,HITCHCOCK,77563-3218,6,8,4,N,No,No,Yes,316,43.67%,0.00%,0.00%,28.80%,0.00%,1.90%,25.63%,77.85%,20.9,307,307,37.13355049,62.90%,25.08143322,8.143322476,37.13355049,62.90%,24.76%,5.537459283,NA,N/A,N/A,NA,NA,46.57248306,47.29667664,46.93457985,NA,NA,NA,NA,NA,NA,24.91856678,F,-6.099758974,18.8188078,F,F,30.19376082,NA,1093,1050,897,1336,C,C,C,D,209/328,175/316,173/302,232/314,Middle school,NA,NA,NA,NA,NA,NA,NA,NA
84908042,Crosby Middle,No,Crosby ISD,HARRIS COUNTY,14703 FM 2100,CROSBY,77532-8009,6,8,4,N,No,No,No,1370,16.72%,0.07%,0.58%,34.16%,0.07%,1.90%,46.50%,46.20%,10.1,1352,1249,31.36094675,68.60%,34.61538462,14.57100592,25.6204964,74.40%,42.11%,13.1305044,NA,N/A,N/A,NA,NA,47.85301971,49.69203949,48.7725296,NA,NA,NA,NA,105,97,38.36453778,C,-5.218649416,33.14588837,D,D,40.05422427,NA,1690,1185,1583,1358,D,C-,F,D,281/328,201/316,285/302,236/314,Middle school,NA,NA,NA,NA,NA,NA,NA,NA
170902073,Cryar Intermediate,No,Conroe ISD,MONTGOMERY COUNTY,2375 MONTGOMERY PARK BLVD,CONROE,77304,5,6,6,N,No,No,No,655,14.81%,0.15%,2.90%,37.56%,0.00%,3.05%,41.53%,55.42%,18.8,639,637,26.13458529,73.90%,45.5399061,21.28325509,18.0533752,81.90%,46.62%,20.56514914,NA,N/A,N/A,NA,NA,50.55994034,48.9658432,49.76289177,NA,NA,NA,NA,NA,NA,46.08235494,C,1.615322703,47.69767764,C,D,47.79979381,NA,1895,2172,1404,1462,C+,C+,B,B,402/892,458/878,326/856,326/856/870,Elementary school,NA,NA,NA,NA,NA,NA,NA,NA
101912044,Cullen Middle,No,Houston ISD,HARRIS COUNTY,6900 SCOTT ST,HOUSTON,77021-4851,6,8,4,N,No,No,Yes,491,83.50%,0.00%,1.02%,13.85%,0.00%,0.41%,1.22%,76.17%,38,461,447,60.95444685,39.00%,11.93058568,3.036876356,59.95525727,40.00%,9.17%,1.118568233,NA,N/A,N/A,NA,NA,45.34808731,43.78601074,44.56704903,NA,NA,NA,NA,15,10,10.5514226,F,-20.86096423,-10.30954163,F,F,14.92137369,NA,2036,1987,1638,1776,F,F,F,F,325/328,315/316,315/316/302,315/316/302/314,Middle school,NA,NA,NA,NA,NA,NA,NA,NA
